year,country,points,code,Rank
2017,Finland,7.788251877,FIN,1
2017,Denmark,7.593702316,DNK,2
2017,Norway,7.578744888,NOR,3
2017,Iceland,7.476213932,ISL,4
2017,Switzerland,7.473593235,CHE,5
2017,Netherlands,7.458965302,NLD,6
2017,Israel,7.331036091,ISR,7
2017,New Zealand,7.32718277,NZL,8
2017,Austria,7.293727875,AUT,9
2017,Sweden,7.286804676,SWE,10
2017,Australia,7.25703764,AUS,11
2017,Costa Rica,7.22518158,CRI,12
2017,United Kingdom,7.103273392,GBR,13
2017,Germany,7.074324608,DEU,14
2017,Luxembourg,7.061380863,LUX,15
2017,Ireland,7.060155392,IRL,16
2017,United Arab Emirates,7.039419651,ARE,17
2017,United States,6.9917593,USA,18
2017,Belgium,6.928347588,BEL,19
2017,Czech Republic,6.789567947,CZE,20
2017,Malta,6.675665855,MLT,21
2017,France,6.635222435,FRA,22
2017,Panama,6.567658901,PAN,23
2017,Nicaragua,6.476356506,NIC,24
2017,Uzbekistan,6.421447754,UZB,25
2017,Mexico,6.410299301,MEX,26
2017,Singapore,6.378437996,SGP,27
2017,Slovakia,6.365509033,SVK,28
2017,Taiwan Province of China,6.359450817,TWN,29
2017,El Salvador,6.339318275,SLV,30
2017,Uruguay,6.336009979,URY,31
2017,Brazil,6.332929134,BRA,32
2017,Guatemala,6.325118542,GTM,33
2017,Chile,6.320119381,CHL,34
2017,Saudi Arabia,6.294282436,SAU,35
2017,Lithuania,6.272940636,LTU,36
2017,Spain,6.230173111,ESP,37
2017,Bahrain,6.227320671,BHR,38
2017,Poland,6.201268196,POL,39
2017,Italy,6.198870182,ITA,40
2017,Trinidad and Tobago,6.191859722,TTO,41
2017,Mauritius,6.174117565,MUS,42
2017,Slovenia,6.166837692,SVN,43
2017,Colombia,6.157341957,COL,44
2017,Kosovo,6.149199963,KSV,45
2017,Kuwait,6.093905449,KWT,46
2017,Romania,6.089904785,ROU,47
2017,Hungary,6.065038681,HUN,48
2017,Cyprus,6.062051296,CYP,49
2017,Argentina,6.039330006,ARG,50
2017,Honduras,6.019985676,HND,51
2017,Latvia,5.977817535,LVA,52
2017,Thailand,5.938895226,THA,53
2017,Estonia,5.938395977,EST,54
2017,Japan,5.910676479,JPN,55
2017,Jamaica,5.889759064,JAM,56
2017,Kazakhstan,5.882351398,KAZ,57
2017,South Korea,5.873887062,KOR,58
2017,Ecuador,5.839518547,ECU,59
2017,Pakistan,5.830870628,PAK,60
2017,Tajikistan,5.829234123,TJK,61
2017,Portugal,5.711499214,PRT,62
2017,Peru,5.710936546,PER,63
2017,Bolivia,5.65055275,BOL,64
2017,Libya,5.646852493,LBY,65
2017,Kyrgyzstan,5.629536629,KGZ,66
2017,Montenegro,5.614798546,MNE,67
2017,Turkey,5.607262135,TUR,68
2017,Dominican Republic,5.605202675,DOM,69
2017,Philippines,5.594270229,PHL,70
2017,Russia,5.578742981,RUS,71
2017,Belarus,5.552915096,BLR,72
2017,Ghana,5.481310844,GHA,73
2017,Hong Kong S.A.R. of China,5.362474918,HKG,74
2017,Croatia,5.343165874,HRV,75
2017,Mongolia,5.333850384,MNG,76
2017,Moldova,5.325530529,MDA,77
2017,Nigeria,5.321928024,NGA,78
2017,Morocco,5.312482834,MAR,79
2017,Algeria,5.248912334,DZA,80
2017,Macedonia,5.233866692,MKD,81
2017,Turkmenistan,5.229148865,TKM,82
2017,Vietnam,5.175278664,VNM,83
2017,Lebanon,5.153989792,LBN,84
2017,Azerbaijan,5.152279377,AZE,85
2017,Greece,5.14824152,GRC,86
2017,Serbia,5.122031212,SRB,87
2017,China,5.099061489,CHN,88
2017,Indonesia,5.098401546,IDN,89
2017,Bulgaria,5.096901894,BGR,90
2017,Bosnia and Herzegovina,5.089902401,BIH,91
2017,Cameroon,5.07405138,CMR,92
2017,Ivory Coast,5.037734985,CIV,93
2017,Congo (Brazzaville),4.883991241,ZAR,94
2017,Guinea,4.873722553,GIN,95
2017,Benin,4.853180885,BEN,96
2017,Jordan,4.808082581,JOR,97
2017,Gabon,4.782382965,GAB,98
2017,Mali,4.741850376,MLI,99
2017,Nepal,4.736692429,NPL,100
2017,Iran,4.716783047,IRN,101
2017,Senegal,4.683024883,SEN,102
2017,Mauritania,4.678159714,MRT,103
2017,Burkina Faso,4.646891117,BFA,104
2017,Albania,4.639548302,ALB,105
2017,Palestinian Territories,4.62813282,PSE,106
2017,Laos,4.623140812,LAO,107
2017,Niger,4.615673542,NER,108
2017,Cambodia,4.585842133,KHM,109
2017,Chad,4.558937073,TCD,110
2017,South Africa,4.513655186,ZAF,111
2017,Kenya,4.475654125,KEN,112
2017,Iraq,4.462399006,IRQ,113
2017,Georgia,4.45077467,GEO,114
2017,Namibia,4.441306114,NAM,115
2017,Liberia,4.424490929,LBR,116
2017,Togo,4.360805035,TGO,117
2017,Sri Lanka,4.330945492,LKA,118
2017,Ukraine,4.311067104,UKR,119
2017,Congo (Kinshasa),4.311033249,COD,120
2017,Bangladesh,4.309771061,BGD,121
2017,Armenia,4.287736416,ARM,122
2017,Mozambique,4.279863358,MOZ,123
2017,Ethiopia,4.180315495,ETH,124
2017,Myanmar,4.154341698,MMR,125
2017,Tunisia,4.124342918,TUN,126
2017,Sierra Leone,4.089562416,SLE,127
2017,Madagascar,4.078620434,MDG,128
2017,India,4.046111107,IND,129
2017,Uganda,4.000516891,UGA,130
2017,Zambia,3.932777405,ZMB,131
2017,Egypt,3.929344177,EGY,132
2017,Haiti,3.823865652,HTI,133
2017,Zimbabwe,3.63830018,ZWE,134
2017,Botswana,3.504881144,BWA,135
2017,Central African Republic,3.475862026,CAF,136
2017,Malawi,3.416862965,MWI,137
2017,Tanzania,3.347121239,TZA,138
2017,Yemen,3.253560066,YEM,139
2017,South Sudan,2.816622496,SSD,140
2017,Afghanistan,2.66171813,AFG,141